"AGE","CLITIME","INCOME","RESIDTIME","REGION_North","REGION_South","REGION_West","CABLETV_Yes","AUTODEBT_Yes","DEBTINC","CHURN"
39,16,5780,6.4,1,0,0,1,0,0.261764705882353,"No"
48,18,5290,4.8,1,0,0,1,0,0.0448015122873346,"No"
54,33,16070,2.9,0,0,0,1,0,0.0575606720597386,"No"
31,23,5730,4.7,1,0,0,0,1,0.0837696335078534,"No"
37,15,12880,6.5,1,0,0,1,0,0.036723602484472,"No"
36,19,5620,4.6,0,0,1,1,1,0.241637010676157,"No"
34,22,10900,0.2,0,0,0,1,1,0.0785321100917431,"No"
43,15,6640,7.3,0,1,0,1,0,0.0332831325301205,"No"
35,18,4870,4.2,0,1,0,1,0,0.116837782340862,"No"
55,30,12840,8.7,0,0,0,0,1,0.0518691588785047,"No"
41,19,6260,4.5,0,0,0,0,0,0.0472843450479233,"No"
38,19,5180,8.2,0,0,0,0,0,0.06003861003861,"No"
36,20,5320,1.2,0,1,0,0,0,0.122556390977444,"No"
50,35,13020,2.6,1,0,0,1,1,0.0698924731182796,"No"
52,22,6610,5,0,0,1,1,0,0.108472012102874,"No"
44,25,9580,5.4,0,0,0,1,0,0.0310020876826722,"No"
37,14,4880,7.2,0,0,0,1,0,0.0715163934426229,"No"
36,27,9730,3,1,0,0,1,0,0.0183967112024666,"No"
48,14,9330,6,0,0,1,1,0,0.00535905680600214,"No"
31,15,5780,3.7,0,0,1,0,1,0.126297577854671,"No"
